messages,index
"ты слышал о новом наркошопе в нашем районе",1
"не забудь забрать свои вещи из магазина",0
"слышал, что слухи о теракте ходят в интернете",1
"давай лучше встретимся в кафе, это безопаснее",0
"вчера видел странные люди в парке, стоит насторожиться",1
"ктото оставил подозрительный пакет на ступеньках",1
"надеюсь, что в следующем месяце будет хорошая погода",0
"есть информация о группе, которая поставляет наркотики",1
"вчера мы смотрели фильм, он был действительно интересным",0
"я слышал о нескольких задержаниях наркоторговцев",1
"помнишь, как мы отдыхали на пляже прошлым летом",0
"нужно быть осторожнее с теми, кто предлагает чтото странное",1
"недавно на площади проходила выставка бесплатных книг",0
"у нас в городе участились случаи краж и ограблений",1
"как твои дела все хорошо",0
"мой знакомый работает в полиции, он знает об угрозах",0
"давай сходим в кино на новый блокбастер",0
"я не знаю, где искать безопасные места для встречи",0
"завтра у нас на работе будет собрание, все должны прийти",0
"ты знаешь, что нужно быть внимательнее на улице",1
"последнее время много событий, которые вызывают тревогу",1
"обсуждали последние новости много чего интересного",0
"люди говорят о бунтах и протестах, надо быть осторожнее",0
"как насчет похода в аквапарк в выходные",0
"на улице было много полиции, явно происходило чтото серьезное",1
"слышал про нового бариста в нашей кофейне",0
"мне кажется, что у нас все же не хватает охраны в центре",1
"ты доволен тем, что происходит на работе",0
"помнишь, как мы зашли в тот магазин, где продавали алкоголь",0
"лично я всегда настороженно отношусь к объявлениям в интернете",1
"на следующей неделе у нас будут выходные, что планируешь",0
"слышал, что в другом городе произошел теракт",1
"хотел бы попробовать новые блюда в ресторане",0
"погода сегодня отличная, не правда ли",0
"в интернете много фейковых новостей о наркоторговле",1
"нужно внимательно следить за своими вещами в общественных местах",1
"мы можем встретиться на выставке в центре, если хочешь",0
"у меня есть несколько книг, которые мне могут понадобиться",0
"недавно видел пост о проявлениях насилия в нашем городе",1
"как ты смотришь на поездку в другой город на уикенд",0
"я слышал, что в парке снова собираются странные компании",1
"давай сегодня просто отдохнем и не будем ни о чем переживать",0
"ты помнишь, как мы гуляли по побережью",0
"в нашем магазине появилась новая коллекция одежды",0
"в последнее время наркоторговля стала более активной в этом районе",1
"сегодня в спортзале были хорошие тренировки",0
"я не доверяю людям, которые предлагают знакомиться в чатах",1
"на днях получила приглашение на вечеринку",0
"слышал новости о подозрительных перевозках через границу",1
"мы собираемся поиграть в настольные игры, присоединяйся!",0
"в общественном транспорте собираются странные люди",1
"как ты относишься к живой музыке в барах",0
"важно не игнорировать предупреждения о безопасности в городе",1
"я планирую провести выходные с друзьями в деревне",0
"как насчет вечернего похода",0
"слышал о недавнем инциденте в другом районе",1
"пойдем поужинаем в том новом ресторане",0
"не забывай о своих вещах, когда выходишь на улицу",1
"я слышал, в городе выросло число мелких краж",1
"тебе не кажется, что нам стоит поехать кудато подальше",0
