messages,index
"Привет, как дела?",0
"Что ты делаешь сегодня?",0
"Погода прекрасная!",0
"У тебя есть планы на выходные?",0
"Я увидела новую кофейню, давай сходим!",0
"Все в порядке, обдумываю свои дела.",0
"Завтра планирую погулять в парке.",0
"Как проходит твой день?",0
"Забавно, что ты вспомнил об этом.",0
"Мы можем встретиться позже?",0
"Надеюсь, что у тебя все хорошо.",0
"Смотрел новый фильм на выходных?",0
"Мне нужно научиться готовить.",0
"Как насчет того, чтобы поиграть в игру?",0
"Давай сделаем что-то интересное!",0
"Я завтра собираюсь на выставку.",0
"Ты читал последнюю книгу, которая вышла?",0
"Мне нравится твой стиль!",0
"Какой у тебя любимый вид спорта?",0
"Можешь посоветовать хорошую музыку?",0
"Ты когда-нибудь пробовал йогу?",0
"Скоро поедем в путешествие, ура!",0
"Видел новую серию любимого шоу?",0
"Завтра встречаемся в 6?",0
"Купила себе новую одежду, хочу показать!",0
"Как ты относишься к живописи?",0
"Надо бы встретиться и пообщаться.",0
"Ты умеешь кататься на велосипеде?",0
"Какой твой самый любимый отдых?",0
"У нас скоро домашняя вечеринка.",0
"Когда мы уже увидимся?",0
"Я надежда, что твоя неделя проходит хорошо.",0
"Жду вас в гости в выходные.",0
"Встретимся у кинотеатра в 7?",0
"Сегодня в библиотеке было много людей.",0
"Ты бы пошел на концерт?",0
"На что ты планируешь потратить выходные?",0
"Куда мы можем пойти поужинать?",0
"Может, пойдем на выставку?",0
"Я нашла классный ресторан.",0
"Сейчас такие вкусные фрукты!",0
"Ты что-то делал в это воскресенье?",0
"Мне всегда было интересно, как дела у тебя.",0
"Какой у тебя любимый фильм?",0
"Ты когда будешь в городе?",0
"Обожаю гулять по парку осенью.",0
"Хотела почитать новую книгу по разу, не хватает времени.",0
"Как твои успехи на работе?",0
"Можешь рассказать о своих приключениях?",0
"Кто-то готовый к выходным?",0
"Поехали кататься на горных лыжах?",0
"Какую кухню ты любишь?",0
"Согласен с тобой на все 100%.",0
"Встретимся в следующую среду?",0
"Тебе не кажется, что они немного странные?",0
"Кто хочет поучаствовать в викторине?",0
"Думаю, завтра будет идеальный день для пикника.",0
"Хочешь поехать на море?",0
"Посмотрел новые тренды в моде?",0
"Я никогда не ходил на квесты.",0
"Хочешь научиться чему-то новому?",0
"Что посоветуешь на обед?",0
"Какой у тебя любимый сериал?",0
"Пора что-то новое попробовать!",0
"Купила себе билет на спектакль.",0
"Когда у тебя будет время на встречу?",1
"Можем обсудить наши взгляды на закон.",1
"Что думаешь о скором протесте?",1
"Надеюсь, что они не поднимут эту тему на встрече.",1
"У нас есть что обсудить на следующей встрече.",1
"Я слышал о плане, который может повлиять на всех нас.",1
"Это место не для разговоров.",1
"Не следует забывать о безопасности.",0
"У нас кое-что довольно важное на повестке дня.",0

